,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,total_spent,parent,total_accepted_coupons,number_of_total_purchases
67,Under Graduate,Single,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,44,1274,1,2,32
68,Graduate,In Relationship,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,65,653,1,0,18
69,Graduate,In Relationship,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,53,1562,3,0,19
70,Post Graduate,In Relationship,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,69,1253,0,0,21
71,Under Graduate,In Relationship,52247.25135379061,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,50,109,1,0,9
72,Graduate,In Relationship,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,64,863,1,0,30
73,Post Graduate,In Relationship,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,48,661,2,1,24
74,Graduate,In Relationship,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,71,65,0,0,8
75,Graduate,Single,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,46,13,1,0,4
76,Post Graduate,In Relationship,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,51,1890,0,0,19
77,Graduate,Single,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,47,2209,0,1,22
78,Under Graduate,In Relationship,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,47,18,0,0,4
79,Graduate,In Relationship,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,58,692,0,1,21
80,Graduate,Single,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,38,165,1,0,12
81,Graduate,In Relationship,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,54,16,1,0,4
82,Under Graduate,In Relationship,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,50,79,1,0,9
83,Post Graduate,In Relationship,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,60,318,0,0,11
84,Graduate,Single,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,36,778,0,0,27
85,Graduate,In Relationship,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,63,56,2,0,7
86,Post Graduate,In Relationship,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,53,151,2,1,13
87,Graduate,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,66,372,1,2,17
88,Graduate,In Relationship,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,50,1366,0,1,19
89,Graduate,In Relationship,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,56,194,1,0,10
90,Post Graduate,In Relationship,52247.25135379061,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,66,603,3,0,29
91,Graduate,Single,52247.25135379061,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,66,18,2,0,4
92,Post Graduate,In Relationship,52247.25135379061,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,50,985,0,0,15
93,Post Graduate,Single,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,51,32,1,0,5
94,Post Graduate,In Relationship,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,53,43,1,0,10
95,Graduate,In Relationship,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,40,45,1,0,6
96,Graduate,Single,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,63,606,1,1,22
97,Graduate,Single,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,51,63,2,0,7
98,Under Graduate,In Relationship,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,72,978,0,1,25
99,Post Graduate,In Relationship,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,40,410,0,0,16
100,Under Graduate,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,63,72,1,0,7
101,Post Graduate,Single,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,64,55,1,0,7
102,Graduate,In Relationship,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,44,1169,1,0,27
103,Post Graduate,In Relationship,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,78,1120,0,0,16
104,Graduate,In Relationship,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,64,1097,0,0,20
105,Under Graduate,In Relationship,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,44,29,1,0,5
106,Graduate,In Relationship,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,59,187,2,0,13
107,Graduate,In Relationship,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,54,910,2,0,26
108,Graduate,Single,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,45,145,1,0,9
109,Post Graduate,In Relationship,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,63,850,0,0,14
110,Graduate,In Relationship,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,44,969,1,0,24
111,Post Graduate,Single,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,32,1820,0,1,17
112,Post Graduate,In Relationship,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,60,608,1,1,20
113,Graduate,Single,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,32,730,0,2,25
114,Post Graduate,In Relationship,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,43,551,1,0,21
115,Graduate,Single,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,61,114,2,0,8
116,Graduate,In Relationship,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,53,1724,0,2,15
117,Under Graduate,In Relationship,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,45,577,1,0,20
118,Under Graduate,In Relationship,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,56,81,2,0,7
119,Graduate,In Relationship,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,54,33,1,0,7
120,Post Graduate,In Relationship,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,70,660,1,0,22
121,Post Graduate,Single,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,56,80,1,0,9
122,Post Graduate,In Relationship,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,38,30,2,0,6
123,Graduate,Single,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,47,43,1,0,5
124,Graduate,Single,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,40,1135,0,3,27
125,Under Graduate,In Relationship,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,58,559,0,0,16
126,Graduate,Single,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,39,1923,0,0,16
127,Post Graduate,In Relationship,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,70,90,2,0,8
128,Post Graduate,In Relationship,52247.25135379061,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,62,404,1,0,17
129,Post Graduate,In Relationship,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,67,661,2,0,23
130,Graduate,In Relationship,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,71,463,1,0,19
131,Post Graduate,Single,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,65,632,2,0,23
132,Graduate,In Relationship,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,54,725,0,0,19
133,Graduate,In Relationship,52247.25135379061,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,60,725,1,0,19
134,Post Graduate,In Relationship,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,59,279,2,0,16
135,Post Graduate,In Relationship,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,56,1482,0,1,23
136,Under Graduate,Single,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,47,29,1,0,6
137,Post Graduate,In Relationship,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,64,106,3,0,9
138,Post Graduate,Single,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,50,49,2,1,6
139,Post Graduate,Single,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,58,38,2,0,7
140,Post Graduate,Single,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,31,2077,0,0,22
141,Post Graduate,In Relationship,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,47,1053,1,0,17
142,Graduate,In Relationship,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,61,1385,0,0,23
143,Post Graduate,Single,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,49,871,1,0,25
144,Graduate,In Relationship,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,35,312,1,0,12
145,Graduate,In Relationship,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,47,877,2,0,15
146,Graduate,In Relationship,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,48,68,1,0,6
147,Graduate,In Relationship,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,42,22,1,0,4
148,Under Graduate,In Relationship,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,50,211,3,0,16
149,Post Graduate,In Relationship,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,57,127,0,0,8
150,Post Graduate,In Relationship,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,70,459,2,0,16
151,Graduate,In Relationship,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,54,460,1,1,19
152,Under Graduate,In Relationship,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,51,429,1,0,17
153,Graduate,Single,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,35,89,1,0,11
154,Post Graduate,In Relationship,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,71,1021,1,0,26
155,Graduate,In Relationship,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,74,1381,0,2,21
156,Graduate,Single,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,65,306,1,0,15
157,Graduate,Single,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,45,18,3,0,4
158,Graduate,In Relationship,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,46,162,1,0,9
159,Graduate,Single,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,68,1231,0,0,18
160,Post Graduate,Single,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,65,13,3,0,4
161,Post Graduate,In Relationship,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,78,1706,0,0,27
162,Graduate,In Relationship,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,39,121,1,0,11
163,Post Graduate,Single,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,48,1293,0,0,20
164,Post Graduate,In Relationship,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,50,1608,1,0,37
165,Graduate,In Relationship,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,57,88,3,0,9
166,Graduate,Single,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,70,421,0,1,18
167,Graduate,Single,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,64,259,0,1,12
168,Graduate,Single,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,35,1117,0,0,15
169,Graduate,In Relationship,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,66,89,2,0,9
170,Graduate,In Relationship,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,58,36,2,0,6
171,Graduate,In Relationship,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,41,57,1,0,7
172,Graduate,In Relationship,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,53,148,2,0,8
173,Post Graduate,In Relationship,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,64,93,2,0,8
174,Graduate,Single,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,56,119,1,1,7
175,Post Graduate,In Relationship,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,48,1835,1,0,28
176,Post Graduate,In Relationship,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,75,1318,0,2,25
177,Post Graduate,In Relationship,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,53,45,2,0,7
178,Graduate,In Relationship,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,64,10,3,0,4
179,Under Graduate,In Relationship,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,72,978,0,1,25
180,Post Graduate,In Relationship,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,47,191,1,0,10
181,Under Graduate,In Relationship,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,35,57,1,0,9
182,Post Graduate,In Relationship,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,77,1033,0,0,24
183,Post Graduate,In Relationship,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,39,66,1,0,6
184,Under Graduate,In Relationship,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,62,43,0,0,6
185,Graduate,In Relationship,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,40,50,1,0,5
186,Post Graduate,Single,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,53,39,1,0,7
187,Graduate,In Relationship,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,57,608,1,0,18
188,Graduate,In Relationship,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,47,1581,0,0,24
189,Post Graduate,In Relationship,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,59,68,2,0,7
190,Under Graduate,In Relationship,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,45,80,1,1,5
191,Post Graduate,In Relationship,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,34,1282,0,0,28
